,Weight
"('Normalized ROE', 'Normalized EPS')",5
"('Normalized ROE', 'Normalized Gross Margin')",7
"('Normalized ROE', 'Normalized Revenue per Share')",6
"('Normalized ROE', 'Normalized PB Ratio')",8
"('Normalized EPS', 'Normalized Gross Margin')",5
"('Normalized EPS', 'Normalized Revenue per Share')",5
"('Normalized EPS', 'Normalized PB Ratio')",6
"('Normalized Gross Margin', 'Normalized Revenue per Share')",1
"('Normalized Gross Margin', 'Normalized PB Ratio')",2
"('Normalized Revenue per Share', 'Normalized PB Ratio')",2
